Data,Match,Risultato,Goal,Expected Goals,Goal subiti,Expected goals subiti,Tiri eseguiti,Tiri subiti,Contrasti (Juve),Tackle vinti,Key-pass,Palle intercettate,Falli (Juve),Passaggi,Passaggi riusciti,Possesso
08/18/2018,Chievo-Juventus,2 3,3,2.26,2,1.05,28,6,11,0.364,21,8,9,679,611.1,73%
08/25/2018,Juventus-Lazio,2 0,2,1.51,0,0.32,16,9,20,0.55,13,13,11,530,439.9,56%
09/01/2018,Parma-Juventus,1 2,2,2.18,1,1.91,24,11,14,0.571,18,10,10,591,531.9,66%
09/16/2018,Juventus-Sassuolo,2 1,2,2.85,1,0.74,18,15,17,0.692,11,14,13,397,341.42,42%
09/19/2018,Valencia-Juventus,0 2,2,1.8,0,1.1,10,26,8,0.5,6,14,10,425,361.25,45%
09/23/2018,Frosinone-Juventus,0 2,2,2.92,0,0.06,29,3,15,0.8,20,5,9,624,555.36,73%
09/26/2018,Juventus-Bologna,2 0,2,0.85,0,0.33,15,5,11,0.636,12,11,12,826,759.92,77%
09/29/2018,Juventus-Napoli,3 1,3,3.05,1,1.42,17,14,17,0.529,13,10,15,540,459,52%
10/02/2018,Juventus-Young Boys,3 0,3,2.6,0,0.2,17,6,12,66.7%,9,5,8,635,558.8,61%
10/06/2018,Udinese-Juventus,0 2,2,2.81,0,0.74,21,9,20,50%,17,11,15,629,559.81,60%
10/20/2018,Juventus-Genoa,1 1,1,1.85,1,0.85,21,9,11,63.6%,18,19,10,618,531.48,64%
10/23/2018,Manchester United-Juventus,0 1,1,1.1,0,0.3,14,6,11,72.7%,10,15,14,646,568.48,61%
10/27/2018,Empoli-Juventus,1 2,2,1.49,1,0.27,20,10,16,75%,17,19,21,543,488.7,58%
11/03/2018,Juventus-Cagliari,3 1,3,2.11,1,0.73,16,6,17,76.5%,13,18,10,543,483.27,54%
11/07/2018,Juventus-Manchester United,1 2,1,2.5,2,1,23,9,18,38.9%,21,5,15,510,448.8,55%
11/11/2018,Milan-Juventus,0 2,2,1.53,0,0.82,15,5,14,71.4%,10,13,9,590,519.2,60%
11/24/2018,Juventus-SPAL,2 0,2,1.82,0,0.33,15,11,18,55.6%,12,9,19,444,390.72,44%
11/27/2018,Juventus-Valencia,1 0,1,1.6,1,0.3,20,6,24,62.5%,14,13,18,537,472.56,56%
12/01/2018,Fiorentina-Juventus,0 3,3,1.74,0,1.16,16,17,22,63.6%,11,15,8,434,351.54,55%
12/07/2018,Juventus-Inter,1 0,1,1.48,0,1.04,18,12,13,76.9%,13,11,13,447,366.54,49%
12/12/2018,Young Boys-Juventus,2 1,1,1.8,2,1.4,25,9,11,45.5%,21,9,9,565,491.55,60%
12/15/2018,Torino-Juventus,0 1,1,1.35,0,0.61,12,10,13,61.5%,9,11,13,417,312.75,58%
12/22/2018,Juventus-Roma,1 0,1,2.28,0,0.25,20,7,23,56.5%,18,13,9,438,363.54,51%
12/26/2018,Atalanta-Juventus,2 2,2,1.05,2,1.75,12,18,29,55.2%,9,6,16,410,328,48%
12/29/2018,Juventus-Sampdoria,2 1,2,1.42,1,1.23,17,11,12,58.3%,12,11,14,512,424.96,56%
01/12/2019,Bologna-Juventus,0 2,2,,0,,14,14,,,,,5,659,579.92,66%
01/16/2019,Juventus-Milan,1 0,1,1.3,0,0.5,18,10,21,,,,13,622,566.02,62%
01/21/2019,Juventus-Chievo,3 0,3,3.93,0,0.47,26,9,15,66.7%,20,7,10,663,662.1,62%
11/27/2019,Lazio-Juventus,1 2,2,1.28,1,1.75,6,17,12,66.7%,5,12,14,484,406.56,54%
01/30/2019,Atalanta-Juventus,3 0,0,,3,,10,10,,57.9%,5,17,9,524,429.68,55%
02/02/2019,Juventus-Parma,3 3,3,2.16,3,1.17,28,11,15,80%,23,6,7,590,513.3,69%
02/10/2019,Sassuolo-Juventus,0 3,3,2.11,0,0.44,14,9,19,57.9%,10,7,9,535,444.05,51%
02/15/2019,Juventus-Frosinone,3 0,3,2.08,0,0.63,18,15,15,53.3%,14,8,13,600,522,61%
02/20/2019,Atletico Madrid-Juventus,2 0,0,0.7,2,1.4,14,13,6,83.3%,11,10,16,543,472.41,64%
02/24/2019,Bologna-Juventus,0 1,1,0.59,0,1.27,7,18,19,78.9%,5,16,17,444,341.88,49%
03/03/2019,Napoli-Juventus ,1 2,2,0.59,1,2.05,6,21,14,57.1%,5,8,14,340,282.2,36%
03/08/2019,Juventus-Udinese,4 1,4,2.73,1,0.1,17,6,11,72.7%,10,9,7,648,557.28,62%
03/12/2019,Juventus-Atletico Madrid,3 0,3,,0,,16,5,16,75%,10,8,12,539,447.37,63%
03/17/2019,Genoa-Juventus,2 0,0,0.31,2,1.05,6,18,9,66.7%,5,9,11,516,423.12,60%
03/30/2019,Juventus-Empoli,1 0,1,1.34,0,0.37,15,8,18,52.6%,14,11,16,413,355.18,43%
04/02/2019,Cagliari-Juventus,0 2,2,3.24,0,0.45,17,9,11,36.4%,14,7,10,498,403.38,56%
04/06/2019,Juventus-Milan,2 1,2,1.86,1,1.47,12,16,5,60%,11,10,21,402,325.62,47%
04/10/2019,Ajax-Juventus,1 1,1,0.7,1,1.1,7,19,17,70.6%,6,17,10,382,286.5,39%
04/13/2019,SPAL-Juventus,2 1,1,0.53,2,0.98,11,16,17,58.8%,10,15,14,506,450.34,58%
04/16/2019,Juventus-Ajax,1 2,1,0.8,2,2.2,14,13,18,66.7%,11,20,14,412,309,51%
04/20/2019,Juvenus-Fiorentina,2 1,2,0.9,1,1.44,18,13,15,66.7%,15,6,13,619,550.91,61%
04/27/2019,Inter-Juventus,1 1,1,0.58,1,1.36,10,15,9,55.6%,7,3,12,444,381.84,44%
05/03/2019,Juventus-Torino,1 1,1,1.32,1,0.65,16,11,15,66.7%,15,7,12,481,379.99,59%
05/12/2019,Roma-Juventus,2 0,0,1.05,2,1.39,7,13,14,64.3%,7,10,7,663,583.44,64%
05/19/2019,Juventus-Atalanta,1 1,1,0.88,1,1.67,15,16,15,66.7%,11,8,16,575,488.75,62%
05/26/2019,Sampdoria-Juventus,,,,,,,,,,,,,,,
