"N","Team","M","W","D","L","G","GA","PTS","xG","xGA","xPTS"
"1","Juventus","38","28","6","4","70","30","90","64.53-5.47","35.03+5.03","70.93-19.07"
"2","Napoli","38","24","7","7","74","36","79","68.24-5.76","36.50+0.50","74.45-4.55"
"3","Atalanta","38","20","9","9","77","46","69","74.43-2.57","41.85-4.15","71.88+2.88"
"4","Inter","38","20","9","9","57","33","69","66.47+9.47","38.40+5.40","71.75+2.75"
"5","AC Milan","38","19","11","8","55","36","68","52.16-2.84","41.70+5.70","60.11-7.89"
"6","Roma","38","18","12","8","66","48","66","68.39+2.39","52.79+4.79","62.13-3.87"
"7","Torino","38","16","15","7","52","37","63","46.47-5.53","48.94+11.94","49.84-13.16"
"8","Lazio","38","17","8","13","56","46","59","61.27+5.27","46.45+0.45","61.04+2.04"
"9","Sampdoria","38","15","8","15","60","51","53","53.19-6.81","54.27+3.27","50.95-2.05"
"10","Bologna","38","11","11","16","48","56","44","48.10+0.10","51.06-4.94","48.95+4.95"
"11","Sassuolo","38","9","16","13","53","60","43","49.75-3.25","61.11+1.11","45.64+2.64"
"12","Udinese","38","11","10","17","39","53","43","42.49+3.49","62.23+9.23","38.67-4.33"
"13","SPAL 2013","38","11","9","18","44","56","42","43.28-0.72","54.01-1.99","44.73+2.73"
"14","Fiorentina","38","8","17","13","47","45","41","54.12+7.12","44.08-0.92","59.22+18.22"
"15","Cagliari","38","10","11","17","36","54","41","40.94+4.94","63.74+9.74","39.37-1.63"
"16","Parma Calcio 1913","38","10","11","17","41","61","41","41.10+0.10","64.98+3.98","36.78-4.22"
"17","Genoa","38","8","14","16","39","57","38","44.54+5.54","56.35-0.65","44.68+6.68"
"18","Empoli","38","10","8","20","51","70","38","52.06+1.06","63.33-6.67","46.54+8.54"
"19","Frosinone","38","5","10","23","29","69","25","36.10+7.10","64.59-4.41","35.94+10.94"
"20","Chievo","38","2","14","22","25","75","20","36.48+11.48","62.69-12.31","35.00+15.00"
